Rxn name	Formula	Gene-reaction association	LB	UB	Objective
protein_c	15 C00886_c + 15 C01931_c + 15 C02047_c + 15 C02163_c + 7 C02282_c + 15 C02412_c + 6 C02430_c + 15 C02553_c + 15 C02554_c + 15 C02702_c + 15 C02839_c + 7 C02984_c + 7 C02987_c + 15 C02988_c + 15 C02992_c + 15 C03125_c + 15 C03127_c + 5 C03294_c + 15 C03402_c + 15 C03511_c + 15 C03512_c + 5 C05336_c + 15 C06112_c + 7 C06113_c + 15 C06481_c  -> 15 C00787_c + 15 C01635_c + 15 C01636_c + 22 C01637_c + 7 C01638_c + 15 C01639_c + 22 C01640_c + 7 C01641_c + 15 C01642_c + 15 C01643_c + 15 C01644_c + 15 C01645_c + 15 C01646_c + 16 C01647_c + 15 C01648_c + 15 C01649_c + 15 C01650_c + 15 C01651_c + 15 C01652_c + 15 C01653_c + 15 C16636_c + Protein_c 		  0.00	 50.00	  0.00
apoprotein_c	15 C00886_c + 15 C01931_c + 15 C02047_c + 15 C02163_c + 7 C02282_c + 15 C02412_c + 6 C02430_c + 15 C02553_c + 15 C02554_c + 15 C02702_c + 15 C02839_c + 7 C02984_c + 7 C02987_c + 15 C02988_c + 15 C02992_c + 15 C03125_c + 15 C03127_c + 5 C03294_c + 15 C03402_c + 15 C03511_c + 15 C03512_c + 5 C05336_c + 15 C06112_c + 7 C06113_c + 15 C06481_c  -> 15 C00787_c + 15 C01635_c + 15 C01636_c + 22 C01637_c + 7 C01638_c + 15 C01639_c + 22 C01640_c + 7 C01641_c + 15 C01642_c + 15 C01643_c + 15 C01644_c + 15 C01645_c + 15 C01646_c + 16 C01647_c + 15 C01648_c + 15 C01649_c + 15 C01650_c + 15 C01651_c + 15 C01652_c + 15 C01653_c + 15 C16636_c + C16240_c 		  0.00	 50.00	  0.00
R00332_r	C00002_r + C00144_r  <=> C00008_r + C00035_r 	PBANKA_0829700	-50.00	 50.00	  0.00
R00158_r	C00002_r + C00105_r  <=> C00008_r + C00015_r 	PBANKA_0202300	-50.00	 50.00	  0.00
apoprotein_a	15 C00886_a + 15 C01931_a + 15 C02047_a + 15 C02163_a + 7 C02282_a + 15 C02412_a + 15 C02430_a + 15 C02553_a + 15 C02554_a + 15 C02702_a + 15 C02839_a + 15 C02984_a + 15 C02987_a + 15 C02988_a + 15 C02992_a + 15 C03125_a + 15 C03127_a + 15 C03402_a + 15 C03511_a + 15 C03512_a + 7 C05336_a + 15 C06112_a  -> 15 C00787_a + 15 C01635_a + 15 C01636_a + 15 C01637_a + 15 C01638_a + 15 C01639_a + 22 C01640_a + 15 C01641_a + 15 C01642_a + 15 C01643_a + 15 C01644_a + 15 C01645_a + 15 C01646_a + 22 C01647_a + 15 C01648_a + 15 C01649_a + 15 C01650_a + 15 C01651_a + 15 C01652_a + 15 C01653_a + C16240_a 		  0.00	 50.00	  0.00
tRNAsyn_c	158 C00001_c + 189 C00002_c + 10 C00044_c + 9 C00063_c + 30 C00075_c  -> 158 C00008_c + 158 C00009_c + 79 C00013_c + C02211_c 		  0.00	 50.00	  0.00
tRNAsyn_a	161 C00001_a + 190 C00002_a + 10 C00044_a + 11 C00063_a + 30 C00075_a  -> 158 C00008_a + 158 C00009_a + 82 C00013_a + C00066_a 		  0.00	 50.00	  0.00
R09944_r	C00641_r + C00063_r  -> C00416_r + C00112_r 		  0.00	 50.00	  0.00
R00597_c	C00019_c + C01977_c  <=> C00021_c + C04157_c 	PBANKA_0815300	-50.00	 50.00	  0.00
R00847_r	C00002_r + C00116_r  <=> C00008_r + C00093_r 	PBANKA_1364300	-50.00	 50.00	  0.00
tRNATyr_c	C19085_c  -> C00787_c 		  0.00	 50.00	  0.00
tRNAAla_c	C19085_c  -> C01635_c 		  0.00	 50.00	  0.00
tRNAArg_c	C19085_c  -> C01636_c 		  0.00	 50.00	  0.00
tRNAAsn_c	C19085_c  -> C01637_c 		  0.00	 50.00	  0.00
tRNAAsp_c	C19085_c  -> C01638_c 		  0.00	 50.00	  0.00
tRNACys_c	C19085_c  -> C01639_c 		  0.00	 50.00	  0.00
tRNAGln_c	C19085_c  -> C01640_c 		  0.00	 50.00	  0.00
tRNAGlu_c	C19085_c  -> C01641_c 		  0.00	 50.00	  0.00
tRNAGly_c	C19085_c  -> C01642_c 		  0.00	 50.00	  0.00
tRNAHis_c	C19085_c  -> C01643_c 		  0.00	 50.00	  0.00
tRNAIle_c	C19085_c  -> C01644_c 		  0.00	 50.00	  0.00
tRNALeu_c	C19085_c  -> C01645_c 		  0.00	 50.00	  0.00
tRNALys_c	C19085_c  -> C01646_c 		  0.00	 50.00	  0.00
tRNAMet_c	C19085_c  -> C01647_c 		  0.00	 50.00	  0.00
tRNAPhe_c	C19085_c  -> C01648_c 		  0.00	 50.00	  0.00
tRNAPro_c	C19085_c  -> C01649_c 		  0.00	 50.00	  0.00
tRNASer_c	C19085_c  -> C01650_c 		  0.00	 50.00	  0.00
tRNAThr_c	C19085_c  -> C01651_c 		  0.00	 50.00	  0.00
tRNATrp_c	C19085_c  -> C01652_c 		  0.00	 50.00	  0.00
tRNAVal_c	C19085_c  -> C01653_c 		  0.00	 50.00	  0.00
tRNASec_c	C19085_c  -> C16636_c 		  0.00	 50.00	  0.00
tRNATyr_a	C00066_a  -> C00787_a 		  0.00	 50.00	  0.00
tRNAAla_a	C00066_a  -> C01635_a 		  0.00	 50.00	  0.00
tRNAArg_a	C00066_a  -> C01636_a 		  0.00	 50.00	  0.00
tRNAAsn_a	C00066_a  -> C01637_a 		  0.00	 50.00	  0.00
tRNAAsp_a	C00066_a  -> C01638_a 		  0.00	 50.00	  0.00
tRNACys_a	C00066_a  -> C01639_a 		  0.00	 50.00	  0.00
tRNAGln_a	C00066_a  -> C01640_a 		  0.00	 50.00	  0.00
tRNAGlu_a	C00066_a  -> C01641_a 		  0.00	 50.00	  0.00
tRNAGly_a	C00066_a  -> C01642_a 		  0.00	 50.00	  0.00
tRNAHis_a	C00066_a  -> C01643_a 		  0.00	 50.00	  0.00
tRNAIle_a	C00066_a  -> C01644_a 		  0.00	 50.00	  0.00
tRNALeu_a	C00066_a  -> C01645_a 		  0.00	 50.00	  0.00
tRNALys_a	C00066_a  -> C01646_a 		  0.00	 50.00	  0.00
tRNAMet_a	C00066_a  -> C01647_a 		  0.00	 50.00	  0.00
tRNAPhe_a	C00066_a  -> C01648_a 		  0.00	 50.00	  0.00
tRNAPro_a	C00066_a  -> C01649_a 		  0.00	 50.00	  0.00
tRNASer_a	C00066_a  -> C01650_a 		  0.00	 50.00	  0.00
tRNAThr_a	C00066_a  -> C01651_a 		  0.00	 50.00	  0.00
tRNATrp_a	C00066_a  -> C01652_a 		  0.00	 50.00	  0.00
tRNAVal_a	C00066_a  -> C01653_a 		  0.00	 50.00	  0.00
R00085_a	2 C00001_a + C00002_a  <=> 2 C00009_a + C00020_a + 2 C00080_a 		-50.00	 50.00	  0.00
R00127_a	C00002_a + C00020_a  <=> 2 C00008_a 		-50.00	 50.00	  0.00
R00426_a	C00001_a + C00044_a  -> C00013_a + C00144_a 		  0.00	 50.00	  0.00
R00332_a	C00002_a + C00144_a  <=> C00008_a + C00035_a 		-50.00	 50.00	  0.00
R01951_c	C00044_c + C02985_c  -> C00013_c + C00325_c 		  0.00	 50.00	  0.00
R03161_c	C00002_c + C01019_c  -> C00008_c + C02985_c 		  0.00	 50.00	  0.00
R01092_c	C00002_c + C00984_c  -> C00008_c + C00446_c 		  0.00	 50.00	  0.00
Tc2eC00984_c	C00984_c  <=> C00984_e 		-50.00	 50.00	  0.00
Tc2eC01019_c	C01019_c  <=> C01019_e 		-50.00	 50.00	  0.00
R09247_m	C00448_m + 4 C00129_m  <=> 4 C00013_m + C04216_m 	PBANKA_0300800	-50.00	 50.00	  0.00
R09249_m	C00448_m + 7 C00129_m  <=> 7 C00013_m + C17432_m 	PBANKA_0300800	-50.00	 50.00	  0.00
R09248_m	C00448_m + 5 C00129_m  <=> 5 C00013_m + C04146_m 	PBANKA_0300800	-50.00	 50.00	  0.00
Tc2mC00448_c	C00448_c  <=> C00448_m 		-50.00	 50.00	  0.00
ubiq_m	C17569_m  -> quinone_m 		  0.00	 50.00	  0.00
men_m	C00828_m  -> 0.06 quinone_m 		  0.00	 50.00	  0.00
Tc2eC00029_c	C00029_c  <=> C00029_e 		-50.00	 50.00	  0.00
Tc2eC00043_c	C00043_c  <=> C00043_e 		-50.00	 50.00	  0.00
Tc2eC00096_c	C00096_c  <=> C00096_e 		-50.00	 50.00	  0.00
R01252_c	C00007_c + C00026_c + C00148_c  -> C00011_c + C01157_c + C00042_c 	putative_PBANKA_0701300	  0.00	 50.00	  0.00
R00335_c	C00001_c + C00044_c  -> C00009_c + C00035_c + C00080_c 	putative_PBANKA_1009000 or putative_PBANKA_1116200 or putative_PBANKA_1360900	  0.00	 50.00	  0.00
R04286_c	C04895_c  <=> C00080_c + C00536_c + C03684_c 	putative_PBANKA_1126700	-50.00	 50.00	  0.00
R08208_c	2 C00006_c + C00272_c  <=> 2 C00005_c + 2 C00080_c + C03684_c 		-50.00	 50.00	  0.00
R01793_c	C00004_c + C00080_c + C00268_c  <=> C00003_c + C00272_c 		-50.00	 50.00	  0.00
R00277_c	C00001_c + C00007_c + C00647_c  -> C00014_c + C00018_c + C00027_c 	putative_PBANKA_1323300	  0.00	 50.00	  0.00
R04404_c	C00001_c + C04637_c  -> C00009_c + C01277_c 	putative_PBANKA_1227700	  0.00	 50.00	  0.00
R00155_c	C00001_c + C00015_c  <=> C00009_c + C00080_c + C00105_c 	putative_PBANKA_1337400	-50.00	 50.00	  0.00
R00328_c	C00001_c + C00035_c  -> C00009_c + C00080_c + C00144_c 	putative_PBANKA_1337400	  0.00	 50.00	  0.00
R00961_c	C00001_c + C00104_c  -> C00009_c + C00080_c + C00130_c 	putative_PBANKA_1337400	  0.00	 50.00	  0.00
Tc2mC00149C00026_c	C00149_c + C00026_m  -> C00026_c + C00149_m 	putative_PBANKA_0706700	  0.00	  0.00	  0.00
Tc2mC00036C00026_c	C00036_c + C00026_m  -> C00026_c + C00036_m 	putative_PBANKA_0706700	  0.00	  0.00	  0.00
Tc2mC00158C00026_c	C00158_c + C00026_m  -> C00026_c + C00158_m 	putative_PBANKA_1438700	  0.00	  0.00	  0.00
R00261_c	C00025_c + C00080_c  -> C00011_c + C00334_c 		  0.00	 50.00	  0.00
R01648_m	C00026_m + C00334_m  <=> C00025_m + C00232_m 		-50.00	 50.00	  0.00
Tc2mC00334_c	C00334_c  <=> C00334_m 		-50.00	 50.00	  0.00
Tc2eC00334_c	C00334_c  <=> C00334_e 	putative_PBANKA_0306700	-50.00	 50.00	  0.00
R10178_m	C00022_m + C00334_m  <=> C00041_m + C00232_m 		-50.00	 50.00	  0.00
R08223_c	C00002_c + C06481_c  -> C00008_c + C16638_c 	putative_PBANKA_0209400	  0.00	 50.00	  0.00
R00278_c	C00007_c + C00627_c  -> C00018_c + C00027_c 	putative_PBANKA_1323300	  0.00	 50.00	  0.00
R01710_c	C00001_c + C00007_c + C00534_c  -> C00014_c + C00027_c + C00250_c 	putative_PBANKA_1323300	  0.00	 50.00	  0.00
R01711_c	C00007_c + C00314_c  <=> C00027_c + C00250_c 	putative_PBANKA_1323300	-50.00	 50.00	  0.00
R01195_a	C00006_a + C00080_a + 2 C00138_a + 4Fe4S_a  <=> C00005_a + 2 C00139_a + 2Fe2S_a + 2 C14818_a 	putative_PBANKA_1122100	-50.00	 50.00	  0.00
R05875_a	C00003_a + C00080_a + C00138_a + 4Fe4S_a  <=> C00004_a + C00139_a + 2Fe2S_a + 2 C14818_a 	putative_PBANKA_1122100	-50.00	 50.00	  0.00
R00100_r	C00004_r + 2 C00996_r  <=> C00003_r + C00080_r + 2 C00999_r 	PBANKA_1143400	-50.00	 50.00	  0.00
R07460_a	C00097_a + C15811_a  <=> C00041_a + C15812_a 	PBANKA_0614300 and putative_PBANKA_0303800	-50.00	 50.00	  0.00
FeSsyn1_a	C00001_a + C00002_a + C01352_a + 2 C14818_a + 2 C15812_a + SufBCD_a  -> C00008_a + C00009_a + 7 C00080_a + C00016_a + 2 C15811_a + SufBCD2Fe2S_a 	putative_PBANKA_API00120 and putative_PBANKA_1029200 and putative_PBANKA_0943500	  0.00	 50.00	  0.00
FeSsyn2_a	C00001_a + C00002_a + C01352_a + 2 C14818_a + 2 C15812_a + SufBCD2Fe2S_a  -> C00008_a + C00009_a + 7 C00080_a + C00016_a + 2 C15811_a + SufBCD2Fe2S2_a 	putative_PBANKA_API00120 and putative_PBANKA_1029200 and putative_PBANKA_0943500	  0.00	 50.00	  0.00
FeStran1_a	4 C00080_a + SufBCD2Fe2S_a  <=> 2Fe2S_a + SufBCD_a 	putative_PBANKA_1237400	-50.00	 50.00	  0.00
FeStran2_a	4 C00080_a + SufBCD4Fe4S_a  <=> 4Fe4S_a + SufBCD_a 	putative_PBANKA_1237400	-50.00	 50.00	  0.00
FeSred_a	2 C00080_a + C01352_a + SufBCD2Fe2S2_a  <=> C00016_a + SufBCD4Fe4S_a 		-50.00	 50.00	  0.00
FeSsyn1_m	C00001_m + C00002_m + C01352_m + 2 C14818_m + 2 C15812_m + SufBCD_m  -> C00008_m + C00009_m + C00016_m + 7 C00080_m + 2 C15811_m + SufBCD2Fe2S_m 	PBANKA_1141200	  0.00	 50.00	  0.00
FeSsyn2_m	C00001_m + C00002_m + C01352_m + 2 C14818_m + 2 C15812_m + SufBCD2Fe2S_m  -> C00008_m + C00009_m + C00016_m + 7 C00080_m + 2 C15811_m + SufBCD2Fe2S2_m 	PBANKA_1141200	  0.00	 50.00	  0.00
FeStran1_m	4 C00080_m + SufBCD2Fe2S_m  <=> 2Fe2S_m + SufBCD_m 		-50.00	 50.00	  0.00
FeStran2_m	4 C00080_m + SufBCD4Fe4S_m  <=> 4Fe4S_m + SufBCD_m 		-50.00	 50.00	  0.00
FeSred_m	2 C00080_m + C01352_m + SufBCD2Fe2S2_m  <=> C00016_m + SufBCD4Fe4S_m 		-50.00	 50.00	  0.00
Tc2aC14818_c	C14818_c  <=> C14818_a 		-50.00	 50.00	  0.00
Tc2eC05650_c	C05650_c  <=> C05650_e 		-50.00	 50.00	  0.00
Tc2eC03684_c	C03684_c  <=> C03684_e 		-50.00	 50.00	  0.00
Tc2eC00536_c	C00536_c  <=> C00536_e 		-50.00	 50.00	  0.00
Tc2eC00042_c	C00042_c  <=> C00042_e 		-50.00	 50.00	  0.00
Tc2mC00042_c	C00042_c  <=> C00042_m 		-50.00	 50.00	  0.00
Tc2eC00272_c	C00272_c  <=> C00272_e 		-50.00	 50.00	  0.00
R02541_c	C00001_c + C00550_c  -> C00588_c + C00195_c 	putative_PBANKA_1453100	  0.00	 50.00	  0.00
Fecyt_m	C00524_m  <=> C00125_m 		-50.00	 50.00	  0.00
Tc2rC00416_c	C00416_c  <=> C00416_r 		-50.00	 50.00	  0.00
Apocyt_m	C16240_m  -> C02248_m 		  0.00	 50.00	  0.00
R00848_a	C00093_c + C00016_a  <=> C00111_c + C01352_a 	PBANKA_0404800	-50.00	 50.00	  0.00
R01082_c	C00149_c  <=> C00001_c + C00122_c 	PBANKA_0828100	-50.00	 50.00	  0.00
Tc2aC00725_c	C00725_c  <=> C00725_a 		-50.00	  0.00	  0.00
R05918_c	C00154_c + G00144_c  <=> C00010_c + G00145_c 	PBANKA_1230000	-50.00	 50.00	  0.00
R05917_c	C00001_c + G00143_c  -> C00033_c + G00144_c 	PBANKA_1123600	  0.00	 50.00	  0.00
R05916_c	C00043_c + C01194_c  <=> C00015_c + G00143_c 	PBANKA_0516200 and PBANKA_0812100 and PBANKA_1118100.2 and PBANKA_0836100	-50.00	 50.00	  0.00
Tc2rG00145_c	G00145_c  <=> G00145_r 		-50.00	 50.00	  0.00
GAK_m	C00020_m + C00044_m  <=> C00008_m + C00035_m 	PBANKA_0717600	-50.00	 50.00	  0.00
Tc2eC01134_c	C01134_c  -> C01134_e 		  0.00	  0.00	  0.00
R01623_c	C00001_c + C00229_c  -> C03688_c + C01134_c 		  0.00	 50.00	  0.00
enzcys_c	C00001_c + 2 C00044_c + C03125_c + Protein_c  -> 2 C00009_c + 2 C00035_c + C01639_c + C15811_c 		  0.00	 50.00	  0.00
Tc2mC15811_c	C15811_c  <=> C15811_m 		-50.00	 50.00	  0.00
protein_a	15 C00886_a + 15 C01931_a + 15 C02047_a + 15 C02163_a + 7 C02282_a + 15 C02412_a + 15 C02430_a + 15 C02553_a + 15 C02554_a + 15 C02702_a + 15 C02839_a + 15 C02984_a + 15 C02987_a + 15 C02988_a + 15 C02992_a + 15 C03125_a + 15 C03127_a + 15 C03402_a + 15 C03511_a + 15 C03512_a + 7 C05336_a + 15 C06112_a  -> 15 C00787_a + 15 C01635_a + 15 C01636_a + 15 C01637_a + 15 C01638_a + 15 C01639_a + 22 C01640_a + 15 C01641_a + 15 C01642_a + 15 C01643_a + 15 C01644_a + 15 C01645_a + 15 C01646_a + 22 C01647_a + 15 C01648_a + 15 C01649_a + 15 C01650_a + 15 C01651_a + 15 C01652_a + 15 C01653_a + Protein_a 		  0.00	 50.00	  0.00
enzcys_a	C00001_a + 2 C00044_a + C03125_a + Protein_a  -> 2 C00009_a + 2 C00035_a + C01639_a + C15811_a 		  0.00	 50.00	  0.00
R01074_a	C00002_a + C00080_a + C00120_a  <=> C00013_a + C05921_a 	putative_PBANKA_0511000	-50.00	 50.00	  0.00
Tc2aC00120_c	C00120_c  <=> C00120_a 		-50.00	 50.00	  0.00
R05145_a	C05921_a + C06249_a  <=> C00020_a + C06250_a 		-50.00	 50.00	  0.00
plys_a	C00001_a + 2 C00044_a + C01931_a + C16240_a  -> 2 C00009_a + 2 C00035_a + C01646_a + C02188_a 		  0.00	 50.00	  0.00
plysiso_a	C02188_a  <=> C06249_a 		-50.00	 50.00	  0.00
Tc2rC00024_c	C00024_c + C00010_r  <=> C00010_c + C00024_r 	putative_PBANKA_0519800	-50.00	 50.00	  0.00
R00557_m	3 C00005_m + 4 C00007_m + C00080_m + 2 C00062_m  -> 4 C00001_m + 3 C00006_m + 2 C00327_m + 2 C00533_m 	PBANKA_0824100	  0.00	 50.00	  0.00
Tc2mC00062_c	C00062_c  <=> C00062_m 		-50.00	 50.00	  0.00
Tc2mC00533_c	C00533_c  <=> C00533_m 		-50.00	 50.00	  0.00
Tc2mC00327_c	C00327_c  <=> C00327_m 		-50.00	 50.00	  0.00
Tc2eC00327_c	C00327_c  <=> C00327_e 		-50.00	 50.00	  0.00
Tc2eC00533_c	C00533_c  <=> C00533_e 		-50.00	 50.00	  0.00
EXCbothC00080_e	C00080_e  <=> 		-50.00	 50.00	  0.00
EXCbothC00256_e	C00256_e  -> 		  0.00	 50.00	  0.00
EXCbothC00186_e	C00186_e  -> 		  0.00	 50.00	  0.00
EXCbothC00001_e	C00001_e  <=> 		-50.00	 50.00	  0.00
EXCbothC00007_e	C00007_e  <=> 		-50.00	 50.00	  0.00
EXCbothC00009_e	C00009_e  <=> 		-50.00	 50.00	  0.00
EXCbothC00011_e	C00011_e  -> 		  0.00	 50.00	  0.00
EXCbothC00013_e	C00013_e  <=> 		-50.00	 50.00	  0.00
EXCbothC00014_e	C00014_e  <=> 		-50.00	 50.00	  0.00
EXCbothC00019_e	C00019_e  <=> 		 -0.00	 50.00	  0.00
EXCbothC00021_e	C00021_e  <=> 		 -0.00	 50.00	  0.00
EXCbothC00022_e	C00022_e  -> 		  0.00	 50.00	  0.00
EXCbothC00025_e	C00025_e  <=> 		-50.00	 50.00	  0.00
EXCbothC00026_e	C00026_e  -> 		  0.00	 50.00	  0.00
EXCbothC00027_e	C00027_e  -> 		  0.00	 50.00	  0.00
EXCbothC00031_e	C00031_e  <=> 		 -0.01	 50.00	  0.00
EXCbothC00033_e	C00033_e  <=> 		-50.00	 50.00	  0.00
EXCbothC00036_e	C00036_e  -> 		  0.00	 50.00	  0.00
EXCbothC00037_e	C00037_e  <=> 		-50.00	 50.00	  0.00
EXCbothC00041_e	C00041_e  <=> 		-50.00	 50.00	  0.00
EXCbothC00047_e	C00047_e  <=> 		-50.00	 50.00	  0.00
EXCbothC00049_e	C00049_e  <=> 		-50.00	 50.00	  0.00
EXCbothC00051_e	C00051_e  <=> 		-50.00	 50.00	  0.00
EXCbothC00059_e	C00059_e  <=> 		-50.00	 50.00	  0.00
EXCbothC00062_e	C00062_e  <=> 		-50.00	 50.00	  0.00
EXCbothC00064_e	C00064_e  <=> 		-50.00	 50.00	  0.00
EXCbothC00065_e	C00065_e  <=> 		-50.00	 50.00	  0.00
EXCbothC00067_e	C00067_e  -> 		  0.00	 50.00	  0.00
EXCbothC00073_e	C00073_e  <=> 		-50.00	 50.00	  0.00
EXCbothC00077_e	C00077_e  -> 		  0.00	 50.00	  0.00
EXCbothC00078_e	C00078_e  <=> 		-50.00	 50.00	  0.00
EXCbothC00079_e	C00079_e  <=> 		-50.00	 50.00	  0.00
EXCbothC00082_e	C00082_e  <=> 		-50.00	 50.00	  0.00
EXCbothC00084_e	C00084_e  -> 		  0.00	 50.00	  0.00
EXCbothC00086_e	C00086_e  -> 		  0.00	 50.00	  0.00
EXCbothC00095_e	C00095_e  <=> 		 -0.00	 50.00	  0.00
EXCbothC00097_e	C00097_e  <=> 		-50.00	 50.00	  0.00
EXCbothC00101_e	C00101_e  -> 		  0.00	 50.00	  0.00
EXCbothC00106_e	C00106_e  -> 		  0.00	 50.00	  0.00
EXCbothC00114_e	C00114_e  <=> 		-50.00	 50.00	  0.00
EXCbothC00116_e	C00116_e  -> 		  0.00	 50.00	  0.00
EXCbothC00122_e	C00122_e  -> 		  0.00	 50.00	  0.00
EXCbothC00123_e	C00123_e  <=> 		-50.00	 50.00	  0.00
EXCbothC00127_e	C00127_e  <=> 		-50.00	 50.00	  0.00
EXCbothC00132_e	C00132_e  -> 		  0.00	 50.00	  0.00
EXCbothC00134_e	C00134_e  -> 		  0.00	 50.00	  0.00
EXCbothC00135_e	C00135_e  <=> 		-50.00	 50.00	  0.00
EXCbothC00137_e	C00137_e  -> 		  0.00	 50.00	  0.00
EXCbothC00143_e	C00143_e  -> 		  0.00	 50.00	  0.00
EXCbothC00147_e	C00147_e  <=> 		 -0.00	 50.00	  0.00
EXCbothC00148_e	C00148_e  <=> 		-50.00	 50.00	  0.00
EXCbothC00149_e	C00149_e  -> 		  0.00	 50.00	  0.00
EXCbothC00152_e	C00152_e  <=> 		-50.00	 50.00	  0.00
EXCbothC00155_e	C00155_e  -> 		  0.00	 50.00	  0.00
EXCbothC00158_e	C00158_e  -> 		  0.00	 50.00	  0.00
EXCbothC00159_e	C00159_e  <=> 		 -0.00	 50.00	  0.00
EXCbothC00163_e	C00163_e  -> 		  0.00	 50.00	  0.00
EXCbothC00166_e	C00166_e  <=> 		-50.00	 50.00	  0.00
EXCbothC00170_e	C00170_e  -> 		  0.00	 50.00	  0.00
EXCbothC00183_e	C00183_e  <=> 		-50.00	 50.00	  0.00
EXCbothC00188_e	C00188_e  <=> 		-50.00	 50.00	  0.00
EXCbothC00189_e	C00189_e  -> 		  0.00	 50.00	  0.00
EXCbothC00212_e	C00212_e  <=> 		 -0.00	 50.00	  0.00
EXCbothC00234_e	C00234_e  -> 		  0.00	 50.00	  0.00
EXCbothC00242_e	C00242_e  <=> 		 -0.00	 50.00	  0.00
EXCbothC00249_e	C00249_e  <=> 		-50.00	 50.00	  0.00
EXCbothC00251_e	C00251_e  <=> 		-50.00	 50.00	  0.00
EXCbothC00253_e	C00253_e  <=> 		-50.00	 50.00	  0.00
EXCbothC00255_e	C00255_e  <=> 		-50.00	 50.00	  0.00
EXCbothC00262_e	C00262_e  <=> 		 -0.00	 50.00	  0.00
EXCbothC00288_e	C00288_e  -> 		  0.00	 50.00	  0.00
EXCbothC00294_e	C00294_e  <=> 		 -0.00	 50.00	  0.00
EXCbothC00295_e	C00295_e  -> 		  0.00	 50.00	  0.00
EXCbothC00299_e	C00299_e  <=> 		 -0.00	 50.00	  0.00
EXCbothC00302_e	C00302_e  -> 		  0.00	 50.00	  0.00
EXCbothC00311_e	C00311_e  -> 		  0.00	 50.00	  0.00
EXCbothC00315_e	C00315_e  -> 		  0.00	 50.00	  0.00
EXCbothC00329_e	C00329_e  <=> 		 -0.00	 50.00	  0.00
EXCbothC00337_e	C00337_e  -> 		  0.00	 50.00	  0.00
EXCbothC00376_e	C00376_e  -> 		  0.00	 50.00	  0.00
EXCbothC00378_e	C00378_e  <=> 		-50.00	 50.00	  0.00
EXCbothC00385_e	C00385_e  <=> 		 -0.00	 50.00	  0.00
EXCbothC00407_e	C00407_e  <=> 		-50.00	 50.00	  0.00
EXCbothC00415_e	C00415_e  -> 		  0.00	 50.00	  0.00
EXCbothC00417_e	C00417_e  -> 		  0.00	 50.00	  0.00
EXCbothC00438_e	C00438_e  -> 		  0.00	 50.00	  0.00
EXCbothC00473_e	C00473_e  -> 		  0.00	 50.00	  0.00
EXCbothC00499_e	C00499_e  -> 		  0.00	 50.00	  0.00
EXCbothC00504_e	C00504_e  <=> 		-50.00	 50.00	  0.00
EXCbothC00506_e	C00506_e  -> 		  0.00	 50.00	  0.00
EXCbothC00559_e	C00559_e  <=> 		 -0.00	 50.00	  0.00
EXCbothC00568_e	C00568_e  -> 		  0.00	 50.00	  0.00
EXCbothC00577_e	C00577_e  -> 		  0.00	 50.00	  0.00
EXCbothC00590_e	C00590_e  -> 		  0.00	 50.00	  0.00
EXCbothC00603_e	C00603_e  -> 		  0.00	 50.00	  0.00
EXCbothC00606_e	C00606_e  -> 		  0.00	 50.00	  0.00
EXCbothC00641_e	C00641_e  -> 		  0.00	 50.00	  0.00
EXCbothC00669_e	C00669_e  -> 		  0.00	 50.00	  0.00
EXCbothC00750_e	C00750_e  -> 		  0.00	 50.00	  0.00
EXCbothC00870_e	C00870_e  -> 		  0.00	 50.00	  0.00
EXCbothC00921_e	C00921_e  -> 		  0.00	 50.00	  0.00
EXCbothC00957_e	C00957_e  -> 		  0.00	 50.00	  0.00
EXCbothC01079_e	C01079_e  -> 		  0.00	 50.00	  0.00
EXCbothC01137_e	C01137_e  <=> 		 -0.00	 50.00	  0.00
EXCbothC01157_e	C01157_e  -> 		  0.00	 50.00	  0.00
EXCbothC01165_e	C01165_e  -> 		  0.00	 50.00	  0.00
EXCbothC01179_e	C01179_e  -> 		  0.00	 50.00	  0.00
EXCbothC01300_e	C01300_e  -> 		  0.00	 50.00	  0.00
EXCbothC01419_e	C01419_e  <=> 		-50.00	 50.00	  0.00
EXCbothC01528_e	C01528_e  -> 		  0.00	 50.00	  0.00
EXCbothC01672_e	C01672_e  -> 		  0.00	 50.00	  0.00
EXCbothC02090_e	C02090_e  -> 		  0.00	 50.00	  0.00
EXCbothC02325_e	C02325_e  -> 		  0.00	 50.00	  0.00
EXCbothC02380_e	C02380_e  -> 		  0.00	 50.00	  0.00
EXCbothC02646_e	C02646_e  -> 		  0.00	 50.00	  0.00
EXCbothC02730_e	C02730_e  <=> 		-50.00	 50.00	  0.00
EXCbothC03170_e	C03170_e  -> 		  0.00	 50.00	  0.00
EXCbothC03263_e	C03263_e  -> 		  0.00	 50.00	  0.00
EXCbothC03451_e	C03451_e  -> 		  0.00	 50.00	  0.00
EXCbothC03912_e	C03912_e  -> 		  0.00	 50.00	  0.00
EXCbothC04281_e	C04281_e  -> 		  0.00	 50.00	  0.00
EXCbothC05335_e	C05335_e  <=> 		-50.00	 50.00	  0.00
EXCbothC05512_e	C05512_e  <=> 		 -0.00	 50.00	  0.00
EXCbothC05527_e	C05527_e  -> 		  0.00	 50.00	  0.00
EXCbothC05528_e	C05528_e  -> 		  0.00	 50.00	  0.00
EXCbothC05684_e	C05684_e  -> 		  0.00	 50.00	  0.00
