Rxn name	Formula	Gene-reaction association	LB	UB	Objective
R02073_c	C00013_c + C00085_c  -> C00009_c + C00080_c + C00354_c 	PBANKA_0816400	  0.00	  0.00	  0.00
R10907_c	C00003_c + C00092_c  <=> C00004_c + C00080_c + C01236_c 	PBANKA_1317500	-50.00	 50.00	  0.00
FApool_c	C00162_c  <=> 0.39 C00249_c + 0.3 C00712_c + 0.16 C01530_c + 0.15 C01595_c 		-50.00	  0.00	  0.00
Tc2eC00058_c	C00058_c  <=> C00058_e 		-50.00	 50.00	  0.00
Tc2eC00160_c	C00160_c  <=> C00160_e 		-50.00	 50.00	  0.00
Tc2eC00184_c	C00184_c  <=> C00184_e 		-50.00	 50.00	  0.00
Tc2eC00195_c	C00195_c  <=> C00195_e 		-50.00	 50.00	  0.00
Tc2eC00250_c	C00250_c  <=> C00250_e 		-50.00	 50.00	  0.00
Tc2eC00314_c	C00314_c  <=> C00314_e 		-50.00	 50.00	  0.00
Tc2eC00319_c	C00319_c  <=> C00319_e 		-50.00	 50.00	  0.00
Tc2eC00427_c	C00427_c  <=> C00427_e 		-50.00	 50.00	  0.00
Tc2eC00534_c	C00534_c  <=> C00534_e 		-50.00	 50.00	  0.00
Tc2eC00546_c	C00546_c  <=> C00546_e 		-50.00	 50.00	  0.00
Tc2eC00584_c	C00584_c  <=> C00584_e 		-50.00	 50.00	  0.00
Tc2eC00696_c	C00696_c  <=> C00696_e 		-50.00	 50.00	  0.00
Tc2eC00831_c	C00831_c  <=> C00831_e 	putative_PBANKA_0303900	-50.00	 50.00	  0.00
Tc2eC00864_c	C00864_c  <=> C00864_e 	putative_PBANKA_0303900	-50.00	 50.00	  0.00
Tc2eC00989_c	C00989_c  <=> C00989_e 		-50.00	 50.00	  0.00
Tc2eC01335_c	C01335_c  <=> C01335_e 		-50.00	 50.00	  0.00
Tc2eC01449_c	C01449_c  <=> C01449_e 		-50.00	 50.00	  0.00
Tc2eC01563_c	C01563_c  <=> C01563_e 		-50.00	 50.00	  0.00
Tc2eC02170_c	C02170_c  <=> C02170_e 		-50.00	 50.00	  0.00
Tc2eC02356_c	C02356_c  <=> C02356_e 		-50.00	 50.00	  0.00
Tc2eC02723_c	C02723_c  <=> C02723_e 		-50.00	 50.00	  0.00
Tc2eC02763_c	C02763_c  <=> C02763_e 		-50.00	 50.00	  0.00
Tc2eC04079_c	C04079_c  <=> C04079_e 	putative_PBANKA_0303900	-50.00	 50.00	  0.00
Tc2eC05350_c	C05350_c  <=> C05350_e 		-50.00	 50.00	  0.00
Tc2eC12126_c	C12126_c  <=> C12126_e 		-50.00	 50.00	  0.00
Tc2eC15498_c	C15498_c  <=> C15498_e 		-50.00	 50.00	  0.00
Tc2eC16675_c	C16675_c  <=> C16675_e 		-50.00	 50.00	  0.00
Tc2eC21015_c	C21015_c  <=> C21015_e 		-50.00	 50.00	  0.00
